                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.72723,                0.55709,                0.99719,                0.91644,                0.88227,                0.93613,                0.80147,                0.66432,                0.53242,                 1.0666,             0.00055006,             0.00055006,             0.00055006
                     53,                 0.7018,                0.51154,                0.97769,                0.91066,                0.85044,                0.92125,                0.78298,                0.65243,                0.54711,                 1.0672,             0.00053906,             0.00053906,             0.00053906
                     54,                0.72161,                0.53501,                0.98834,                 0.8859,                 0.8756,                0.92866,                0.79201,                0.65253,                0.57211,                 1.0877,             0.00052806,             0.00052806,             0.00052806
                     55,                 0.7565,                0.60197,                 1.0212,                0.91678,                0.87628,                0.93786,                 0.7954,                0.63719,                0.51014,                 1.0518,             0.00051706,             0.00051706,             0.00051706
                     56,                   0.76,                0.58557,                 1.0259,                0.94073,                0.85268,                 0.9317,                0.79275,                0.64641,                 0.5643,                  1.049,             0.00050606,             0.00050606,             0.00050606
                     57,                0.72493,                0.59647,                0.99717,                0.92026,                0.85722,                0.92869,                0.78719,                0.65909,                0.55621,                 1.0697,             0.00049506,             0.00049506,             0.00049506
                     58,                0.69947,                0.51736,                0.99142,                0.88417,                0.86754,                0.92478,                0.79146,                0.64872,                0.56324,                 1.0673,             0.00048406,             0.00048406,             0.00048406
                     59,                0.68261,                0.50223,                0.96844,                0.93499,                 0.8479,                0.93033,                0.78671,                0.66516,                0.55999,                 1.0716,             0.00047306,             0.00047306,             0.00047306
                     60,                0.72885,                0.52972,                0.99744,                0.93979,                0.83529,                0.93565,                0.78885,                0.66748,                 0.5299,                 1.0853,             0.00046206,             0.00046206,             0.00046206
                     61,                 0.6928,                0.50447,                0.97709,                0.89452,                0.86265,                0.92775,                0.80065,                 0.6133,                0.52079,                 1.0545,             0.00045107,             0.00045107,             0.00045107
                     62,                0.70419,                0.51157,                0.98765,                0.94797,                0.85591,                0.92856,                0.81214,                 0.6071,                0.48562,                 1.0548,             0.00044007,             0.00044007,             0.00044007
                     63,                0.70533,                0.50274,                0.97016,                0.91064,                0.86268,                0.93257,                0.80497,                 0.6142,                0.51102,                 1.0664,             0.00042907,             0.00042907,             0.00042907
                     64,                0.65777,                0.48756,                0.95724,                 0.9506,                0.85721,                0.93988,                0.81347,                0.63549,                0.49621,                 1.0564,             0.00041807,             0.00041807,             0.00041807
                     65,                0.63931,                0.47608,                0.96027,                0.84827,                0.87648,                0.92266,                0.80112,                0.60911,                 0.5655,                 1.0615,             0.00040707,             0.00040707,             0.00040707
                     66,                0.65638,                0.49534,                 0.9675,                0.88476,                0.89812,                0.94177,                0.80932,                0.60138,                0.49341,                 1.0403,             0.00039607,             0.00039607,             0.00039607
                     67,                0.71101,                0.50024,                0.99899,                0.93444,                0.87897,                0.94073,                0.81344,                0.61197,                0.47902,                 1.0512,             0.00038507,             0.00038507,             0.00038507
                     68,                0.67775,                0.50108,                0.96599,                0.94082,                0.85613,                0.93477,                0.80152,                0.64452,                0.52342,                 1.0674,             0.00037407,             0.00037407,             0.00037407
                     69,                0.66017,                0.48856,                0.96734,                0.93423,                0.87019,                0.94574,                 0.8185,                0.60648,                0.50127,                 1.0489,             0.00036307,             0.00036307,             0.00036307
                     70,                0.66486,                0.49651,                0.95816,                0.91414,                0.86377,                 0.9434,                 0.8285,                0.57693,                0.47894,                  1.036,             0.00035208,             0.00035208,             0.00035208
                     71,                0.65047,                0.45921,                0.94966,                 0.9211,                0.84951,                0.93546,                0.81052,                0.61832,                0.50269,                 1.0439,             0.00034108,             0.00034108,             0.00034108
                     72,                0.63412,                0.45591,                0.95654,                0.92304,                0.86709,                 0.9429,                 0.8172,                 0.5964,                0.49698,                 1.0453,             0.00033008,             0.00033008,             0.00033008
                     73,                0.63836,                0.46667,                0.95816,                0.88729,                0.87304,                0.93819,                0.81196,                0.59966,                0.51409,                 1.0538,             0.00031908,             0.00031908,             0.00031908
                     74,                0.64487,                0.46204,                0.94604,                0.93166,                0.87136,                0.94049,                 0.8197,                0.58963,                0.47464,                 1.0431,             0.00030808,             0.00030808,             0.00030808
                     75,                0.63252,                0.45834,                0.94833,                0.94972,                0.85431,                 0.9427,                0.81412,                0.59944,                0.47781,                 1.0542,             0.00029708,             0.00029708,             0.00029708
                     76,                0.59955,                0.43378,                 0.9451,                0.94501,                0.84696,                0.94313,                0.82173,                0.59392,                0.46585,                 1.0525,             0.00028608,             0.00028608,             0.00028608
                     77,                0.67374,                 0.5988,                0.98044,                 0.9055,                0.87955,                0.94498,                0.81873,                 0.6212,                 0.4726,                 1.0572,             0.00027508,             0.00027508,             0.00027508
                     78,                0.64608,                0.46042,                  0.952,                0.92497,                0.90019,                0.94597,                0.80363,                0.63334,                0.47522,                 1.0577,             0.00026408,             0.00026408,             0.00026408
                     79,                0.61652,                0.46182,                0.94828,                0.92666,                0.88601,                 0.9448,                0.82732,                0.59101,                0.47108,                 1.0431,             0.00025309,             0.00025309,             0.00025309
                     80,                0.61169,                0.46876,                0.94336,                0.95166,                0.88566,                0.94532,                0.83536,                0.57177,                0.45806,                 1.0291,             0.00024209,             0.00024209,             0.00024209
                     81,                0.60707,                0.45804,                 0.9408,                 0.9129,                0.89789,                0.94445,                0.82713,                0.57075,                0.45477,                 1.0194,             0.00023109,             0.00023109,             0.00023109
                     82,                 0.6095,                0.43587,                0.95408,                0.92309,                0.87958,                0.95022,                0.83485,                0.55654,                0.45322,                 1.0146,             0.00022009,             0.00022009,             0.00022009
                     83,                0.60981,                0.44196,                0.94137,                0.93299,                0.89287,                0.94236,                0.83618,                0.56795,                0.47047,                 1.0288,             0.00020909,             0.00020909,             0.00020909
                     84,                0.59857,                0.42197,                0.94092,                0.92043,                0.89206,                0.94414,                0.83003,                0.56438,                0.48447,                 1.0311,             0.00019809,             0.00019809,             0.00019809
                     85,                 0.5918,                 0.4162,                0.94474,                0.93473,                0.88295,                0.95162,                0.83918,                0.54831,                0.45645,                 1.0152,             0.00018709,             0.00018709,             0.00018709
                     86,                0.59773,                 0.4345,                0.93884,                0.92306,                0.89883,                0.95496,                0.84069,                0.54942,                0.44388,                  1.015,             0.00017609,             0.00017609,             0.00017609
                     87,                0.57665,                0.50125,                0.92024,                 0.9352,                0.88886,                0.95017,                0.84196,                 0.5481,                0.45818,                 1.0092,             0.00016509,             0.00016509,             0.00016509
                     88,                0.64386,                0.48616,                0.96204,                0.91288,                0.91414,                0.94891,                0.84476,                0.55153,                0.45392,                  1.008,              0.0001541,              0.0001541,              0.0001541
                     89,                0.56985,                0.41505,                0.92661,                0.92096,                0.89292,                0.94868,                0.83961,                0.55494,                0.45182,                 1.0104,              0.0001431,              0.0001431,              0.0001431
                     90,                0.56175,                 0.4061,                0.92071,                0.95861,                0.87849,                0.94824,                0.84083,                0.56912,                0.44586,                 1.0262,              0.0001321,              0.0001321,              0.0001321
                     91,                0.56569,                0.42957,                0.91607,                0.95392,                0.87849,                0.94978,                0.84124,                0.56133,                0.44887,                 1.0251,              0.0001211,              0.0001211,              0.0001211
                     92,                0.50408,                0.37417,                0.89926,                0.94152,                0.88351,                 0.9454,                0.83834,                0.55795,                0.44426,                 1.0296,              0.0001101,              0.0001101,              0.0001101
                     93,                 0.6388,                0.46833,                0.90552,                0.93793,                0.89779,                0.94604,                0.83979,                0.56625,                0.43896,                 1.0297,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.49983,                0.36892,                0.88436,                0.95001,                0.87511,                0.94585,                 0.8367,                  0.572,                0.44576,                 1.0288,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.49434,                0.37586,                0.90024,                0.94754,                0.87273,                0.94487,                0.83991,                0.57078,                0.43994,                 1.0303,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.47953,                 0.4004,                0.88905,                0.91355,                0.88994,                0.94587,                 0.8418,                0.55514,                0.43513,                 1.0216,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.48932,                0.36143,                0.88641,                0.95509,                0.88092,                0.94863,                0.84051,                0.55465,                0.43054,                   1.02,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.48897,                0.37947,                0.89204,                0.94763,                0.88688,                0.94937,                0.84041,                0.55922,                 0.4327,                 1.0221,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.49319,                0.38345,                0.89736,                0.94012,                0.89741,                0.95165,                0.84201,                0.55211,                0.42812,                 1.0217,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.46524,                0.34686,                 0.8794,                0.94914,                0.89315,                0.95092,                0.84239,                0.55163,                0.42854,                 1.0219,             2.2109e-05,             2.2109e-05,             2.2109e-05
